0.000000,100.000000,100.000000
0.005743,100.000000,99.000000
0.120600,100.000000,98.000000
0.227783,99.000000,98.000000
0.325655,99.000000,97.000000
0.462444,99.000000,96.000000
0.476858,98.000000,96.000000
0.518958,97.000000,96.000000
0.730939,96.000000,96.000000
1.100971,95.000000,96.000000
1.211083,95.000000,95.000000
1.260572,95.000000,94.000000
1.303681,95.000000,93.000000
1.434733,95.000000,92.000000
1.454462,95.000000,91.000000
1.477429,95.000000,90.000000
1.597435,94.000000,90.000000
1.698725,93.000000,90.000000
1.873311,92.000000,90.000000
1.880758,91.000000,90.000000
1.934097,91.000000,89.000000
2.036574,90.000000,89.000000
2.383857,90.000000,88.000000
2.535325,90.000000,87.000000
2.734009,89.000000,87.000000
2.772692,88.000000,87.000000
2.829534,88.000000,86.000000
2.886184,88.000000,85.000000
3.009200,88.000000,84.000000
3.089827,88.000000,83.000000
3.351997,87.000000,83.000000
3.570759,86.000000,83.000000
3.669783,86.000000,82.000000
3.716388,85.000000,82.000000
3.740761,84.000000,82.000000
3.790042,84.000000,81.000000
3.866922,83.000000,81.000000
3.944117,83.000000,80.000000
3.988680,82.000000,80.000000
4.085855,82.000000,79.000000
4.635975,82.000000,78.000000
5.091969,82.000000,77.000000
5.134719,82.000000,76.000000
5.655205,81.000000,76.000000
5.734836,81.000000,75.000000
5.810408,80.000000,75.000000
5.854278,79.000000,75.000000
6.238029,79.000000,74.000000
6.919293,78.000000,74.000000
6.975924,77.000000,74.000000
7.658124,76.000000,74.000000
7.757704,76.000000,73.000000
7.843510,75.000000,73.000000
7.852304,75.000000,72.000000
7.989988,75.000000,71.000000
8.016551,74.000000,71.000000
8.030767,74.000000,70.000000
8.050011,74.000000,69.000000
8.299408,74.000000,68.000000
8.619780,73.000000,68.000000
8.688454,73.000000,67.000000
8.886239,72.000000,67.000000
9.023566,72.000000,66.000000
9.045831,72.000000,65.000000
9.105263,72.000000,64.000000
9.304205,71.000000,64.000000
9.305823,71.000000,63.000000
9.712792,70.000000,63.000000
10.515518,69.000000,63.000000
10.524368,69.000000,62.000000
10.913996,69.000000,61.000000
11.039082,68.000000,61.000000
11.701704,67.000000,61.000000
11.938971,66.000000,61.000000
12.623390,65.000000,61.000000
12.627034,65.000000,60.000000
12.640685,65.000000,59.000000
12.726859,64.000000,59.000000
12.904325,63.000000,59.000000
13.018770,63.000000,58.000000
13.382580,63.000000,57.000000
13.437258,63.000000,56.000000
13.658422,63.000000,55.000000
13.722660,62.000000,55.000000
14.334632,61.000000,55.000000
14.876512,61.000000,54.000000
15.244307,61.000000,53.000000
15.483925,61.000000,52.000000
15.691378,61.000000,51.000000
15.859069,61.000000,50.000000
16.048987,60.000000,50.000000
16.627949,60.000000,49.000000
16.808153,59.000000,49.000000
16.885038,59.000000,48.000000
17.253630,58.000000,48.000000
17.277481,58.000000,47.000000
18.652454,58.000000,46.000000
19.025551,57.000000,46.000000
19.413109,57.000000,45.000000
19.693731,56.000000,45.000000
19.717860,55.000000,45.000000
20.397951,55.000000,44.000000
20.642406,55.000000,43.000000
20.664512,54.000000,43.000000
21.301270,54.000000,42.000000
21.334827,54.000000,41.000000
21.694581,54.000000,40.000000
21.736728,53.000000,40.000000
21.966355,52.000000,40.000000
22.021598,52.000000,39.000000
22.037962,51.000000,39.000000
22.861971,51.000000,38.000000
23.127061,51.000000,37.000000
23.611500,51.000000,36.000000
24.484872,50.000000,36.000000
24.638645,50.000000,35.000000
24.908034,50.000000,34.000000
24.977714,50.000000,33.000000
26.163273,49.000000,33.000000
26.821006,48.000000,33.000000
28.253472,47.000000,33.000000
28.283594,46.000000,33.000000
28.368744,46.000000,32.000000
29.258440,45.000000,32.000000
31.766297,44.000000,32.000000
32.300538,44.000000,31.000000
32.416159,44.000000,30.000000
33.273734,43.000000,30.000000
34.421702,43.000000,29.000000
34.922921,43.000000,28.000000
35.072076,42.000000,28.000000
35.136228,41.000000,28.000000
35.148862,41.000000,27.000000
36.047542,40.000000,27.000000
36.412685,39.000000,27.000000
37.466310,38.000000,27.000000
37.519466,37.000000,27.000000
38.518308,36.000000,27.000000
39.202371,36.000000,26.000000
39.534861,36.000000,25.000000
39.780275,36.000000,24.000000
39.783259,36.000000,23.000000
40.144414,35.000000,23.000000
40.227612,34.000000,23.000000
42.348774,34.000000,22.000000
43.192104,33.000000,22.000000
43.916488,33.000000,21.000000
44.002712,33.000000,20.000000
44.015805,32.000000,20.000000
44.604784,32.000000,19.000000
48.008488,32.000000,18.000000
49.537346,31.000000,18.000000
50.671963,30.000000,18.000000
50.922717,30.000000,17.000000
53.809627,30.000000,16.000000
54.769285,30.000000,15.000000
55.583704,30.000000,14.000000
57.765471,30.000000,13.000000
58.300539,29.000000,13.000000
60.365554,28.000000,13.000000
61.549121,28.000000,12.000000
65.155785,27.000000,12.000000
74.344282,26.000000,12.000000
77.178522,25.000000,12.000000
80.143548,25.000000,11.000000
85.490640,25.000000,10.000000
85.936721,25.000000,9.000000
87.485497,24.000000,9.000000
92.147555,24.000000,8.000000
94.861147,24.000000,7.000000
99.650982,24.000000,6.000000
100.976071,23.000000,6.000000
107.272725,23.000000,5.000000
114.661333,22.000000,5.000000
117.794424,22.000000,4.000000
121.731429,22.000000,3.000000
127.872068,22.000000,2.000000
131.217005,22.000000,1.000000
