1.590000,-1.#IND00,-1.#IND00 
1.600000,-1.#IND00,-1.#IND00 
1.610000,-1.#IND00,-1.#IND00 
1.620000,-1.#IND00,-1.#IND00 
1.630000,-1.#IND00,-1.#IND00 
1.640000,-1.#IND00,-1.#IND00 
1.650000,-1.#IND00,-1.#IND00 
1.660000,-1.#IND00,-1.#IND00 
1.670000,-1.#IND00,-1.#IND00 
1.680000,-1.#IND00,-1.#IND00 
1.690000,-1.#IND00,-1.#IND00 
1.700000,-1.#IND00,-1.#IND00 
1.710000,-1.#IND00,-1.#IND00 
1.720000,-1.#IND00,-1.#IND00 
1.730000,-1.#IND00,-1.#IND00 
1.740000,-1.#IND00,-1.#IND00 
1.750000,-1.#IND00,-1.#IND00 
1.760000,-1.#IND00,-1.#IND00 
1.770000,-1.#IND00,-1.#IND00 
1.780000,-1.#IND00,-1.#IND00 
1.790000,-1.#IND00,-1.#IND00 
1.800000,-1.#IND00,-1.#IND00 
1.810000,-1.#IND00,-1.#IND00 
1.820000,-1.#IND00,-1.#IND00 
1.830000,-1.#IND00,-1.#IND00 
1.840000,-1.#IND00,-1.#IND00 
1.850000,-1.#IND00,-1.#IND00 
1.860000,-1.#IND00,-1.#IND00 
1.870000,-1.#IND00,-1.#IND00 
1.880000,-1.#IND00,-1.#IND00 
1.890000,-1.#IND00,-1.#IND00 
1.900000,-1.#IND00,-1.#IND00 
1.910000,-1.#IND00,-1.#IND00 
1.920000,-1.#IND00,-1.#IND00 
1.930000,-1.#IND00,-1.#IND00 
1.940000,-1.#IND00,-1.#IND00 
1.950000,-1.#IND00,-1.#IND00 
1.960000,-1.#IND00,-1.#IND00 
1.970000,-1.#IND00,-1.#IND00 
1.980000,-1.#IND00,-1.#IND00 
1.990000,-1.#IND00,-1.#IND00 
2.000000,-1.#IND00,-1.#IND00 
2.010000,-1.#IND00,-1.#IND00 
2.020000,-1.#IND00,-1.#IND00 
2.030000,-1.#IND00,-1.#IND00 
2.040000,-1.#IND00,-1.#IND00 
2.050000,-1.#IND00,-1.#IND00 
2.060000,-1.#IND00,-1.#IND00 
2.070000,-1.#IND00,-1.#IND00 
2.080000,-1.#IND00,-1.#IND00 
2.090000,-1.#IND00,-1.#IND00 
2.100000,-1.#IND00,-1.#IND00 
2.110000,-1.#IND00,-1.#IND00 
2.120000,-1.#IND00,-1.#IND00 
2.130000,-1.#IND00,-1.#IND00 
2.140000,-1.#IND00,-1.#IND00 
2.150000,-1.#IND00,-1.#IND00 
2.160000,-1.#IND00,-1.#IND00 
2.170000,-1.#IND00,-1.#IND00 
2.180000,-1.#IND00,-1.#IND00 
2.190000,-1.#IND00,-1.#IND00 
2.200000,-1.#IND00,-1.#IND00 
2.210000,-1.#IND00,-1.#IND00 
2.220000,-1.#IND00,-1.#IND00 
2.230000,-1.#IND00,-1.#IND00 
2.240000,-1.#IND00,-1.#IND00 
2.250000,-1.#IND00,-1.#IND00 
2.260000,-1.#IND00,-1.#IND00 
2.270000,-1.#IND00,-1.#IND00 
2.280000,-1.#IND00,-1.#IND00 
2.290000,-1.#IND00,-1.#IND00 
2.300000,-1.#IND00,-1.#IND00 
2.310000,-1.#IND00,-1.#IND00 
2.320000,-1.#IND00,-1.#IND00 
2.330000,-1.#IND00,-1.#IND00 
2.340000,-1.#IND00,-1.#IND00 
2.350000,-1.#IND00,-1.#IND00 
2.360000,-1.#IND00,-1.#IND00 
2.370000,-1.#IND00,-1.#IND00 
2.380000,-1.#IND00,-1.#IND00 
2.390000,-1.#IND00,-1.#IND00 
2.400000,-1.#IND00,-1.#IND00 
2.410000,-1.#IND00,-1.#IND00 
2.420000,-1.#IND00,-1.#IND00 
2.430000,-1.#IND00,-1.#IND00 
2.440000,-1.#IND00,-1.#IND00 
2.450000,-1.#IND00,-1.#IND00 
2.460000,-1.#IND00,-1.#IND00 
2.470000,-1.#IND00,-1.#IND00 
2.480000,-1.#IND00,-1.#IND00 
2.490000,-1.#IND00,-1.#IND00 
2.500000,-1.#IND00,-1.#IND00 
2.510000,-1.#IND00,-1.#IND00 
2.520000,-1.#IND00,-1.#IND00 
2.530000,-1.#IND00,-1.#IND00 
2.540000,-1.#IND00,-1.#IND00 
2.550000,-1.#IND00,-1.#IND00 
2.560000,-1.#IND00,-1.#IND00 
2.570000,-1.#IND00,-1.#IND00 
2.580000,-1.#IND00,-1.#IND00 
2.590000,-1.#IND00,-1.#IND00 
2.600000,-1.#IND00,-1.#IND00 
2.610000,-1.#IND00,-1.#IND00 
2.620000,-1.#IND00,-1.#IND00 
2.630000,-1.#IND00,-1.#IND00 
2.640000,-1.#IND00,-1.#IND00 
2.650000,-1.#IND00,-1.#IND00 
2.660000,-1.#IND00,-1.#IND00 
2.670000,-1.#IND00,-1.#IND00 
2.680000,-1.#IND00,-1.#IND00 
2.690000,-1.#IND00,-1.#IND00 
2.700000,-1.#IND00,-1.#IND00 
2.710000,-1.#IND00,-1.#IND00 
2.720000,-1.#IND00,-1.#IND00 
2.730000,-1.#IND00,-1.#IND00 
2.740000,-1.#IND00,-1.#IND00 
2.750000,-1.#IND00,-1.#IND00 
2.760000,-1.#IND00,-1.#IND00 
2.770000,-1.#IND00,-1.#IND00 
2.780000,-1.#IND00,-1.#IND00 
2.790000,-1.#IND00,-1.#IND00 
2.800000,-1.#IND00,-1.#IND00 
2.810000,-1.#IND00,-1.#IND00 
2.820000,-1.#IND00,-1.#IND00 
2.830000,-1.#IND00,-1.#IND00 
2.840000,-1.#IND00,-1.#IND00 
2.850000,-1.#IND00,-1.#IND00 
2.860000,-1.#IND00,-1.#IND00 
2.870000,-1.#IND00,-1.#IND00 
2.880000,-1.#IND00,-1.#IND00 
2.890000,-1.#IND00,-1.#IND00 
2.900000,-1.#IND00,-1.#IND00 
2.910000,-1.#IND00,-1.#IND00 
2.920000,-1.#IND00,-1.#IND00 
2.930000,-1.#IND00,-1.#IND00 
2.940000,-1.#IND00,-1.#IND00 
2.950000,-1.#IND00,-1.#IND00 
2.960000,-1.#IND00,-1.#IND00 
2.970000,-1.#IND00,-1.#IND00 
2.980000,-1.#IND00,-1.#IND00 
2.990000,-1.#IND00,-1.#IND00 
3.000000,-1.#IND00,-1.#IND00 
3.010000,-1.#IND00,-1.#IND00 
3.020000,-1.#IND00,-1.#IND00 
3.030000,-1.#IND00,-1.#IND00 
3.040000,-1.#IND00,-1.#IND00 
3.050000,-1.#IND00,-1.#IND00 
3.060000,-1.#IND00,-1.#IND00 
3.070000,-1.#IND00,-1.#IND00 
3.080000,-1.#IND00,-1.#IND00 
3.090000,-1.#IND00,-1.#IND00 
3.100000,-1.#IND00,-1.#IND00 
3.110000,-1.#IND00,-1.#IND00 
3.120000,-1.#IND00,-1.#IND00 
3.130000,-1.#IND00,-1.#IND00 
3.140000,-1.#IND00,-1.#IND00 
3.150000,-1.#IND00,-1.#IND00 
3.160000,-1.#IND00,-1.#IND00 
3.170000,-1.#IND00,-1.#IND00 
3.180000,-1.#IND00,-1.#IND00 
3.190000,-1.#IND00,-1.#IND00 
3.200000,-1.#IND00,-1.#IND00 
3.210000,-1.#IND00,-1.#IND00 
3.220000,-1.#IND00,-1.#IND00 
3.230000,-1.#IND00,-1.#IND00 
3.240000,-1.#IND00,-1.#IND00 
3.250000,-1.#IND00,-1.#IND00 
3.260000,-1.#IND00,-1.#IND00 
3.270000,-1.#IND00,-1.#IND00 
3.280000,-1.#IND00,-1.#IND00 
3.290000,-1.#IND00,-1.#IND00 
3.300000,-1.#IND00,-1.#IND00 
3.310000,-1.#IND00,-1.#IND00 
3.320000,-1.#IND00,-1.#IND00 
3.330000,-1.#IND00,-1.#IND00 
3.340000,-1.#IND00,-1.#IND00 
3.350000,-1.#IND00,-1.#IND00 
3.360000,-1.#IND00,-1.#IND00 
3.370000,-1.#IND00,-1.#IND00 
3.380000,-1.#IND00,-1.#IND00 
3.390000,-1.#IND00,-1.#IND00 
3.400000,-1.#IND00,-1.#IND00 
3.410000,-1.#IND00,-1.#IND00 
3.420000,-1.#IND00,-1.#IND00 
3.430000,-1.#IND00,-1.#IND00 
3.440000,-1.#IND00,-1.#IND00 
3.450000,-1.#IND00,-1.#IND00 
3.460000,-1.#IND00,-1.#IND00 
3.470000,-1.#IND00,-1.#IND00 
3.480000,-1.#IND00,-1.#IND00 
3.490000,-1.#IND00,-1.#IND00 
3.500000,-1.#IND00,-1.#IND00 
3.510000,-1.#IND00,-1.#IND00 
3.520000,-1.#IND00,-1.#IND00 
3.530000,-1.#IND00,-1.#IND00 
3.540000,-1.#IND00,-1.#IND00 
3.550000,-1.#IND00,-1.#IND00 
3.560000,-1.#IND00,-1.#IND00 
3.570000,-1.#IND00,-1.#IND00 
3.580000,-1.#IND00,-1.#IND00 
3.590000,-1.#IND00,-1.#IND00 
3.600000,-1.#IND00,-1.#IND00 
3.610000,-1.#IND00,-1.#IND00 
3.620000,-1.#IND00,-1.#IND00 
3.630000,-1.#IND00,-1.#IND00 
3.640000,-1.#IND00,-1.#IND00 
3.650000,-1.#IND00,-1.#IND00 
3.660000,-1.#IND00,-1.#IND00 
3.670000,-1.#IND00,-1.#IND00 
3.680000,-1.#IND00,-1.#IND00 
3.690000,-1.#IND00,-1.#IND00 
3.700000,-1.#IND00,-1.#IND00 
3.710000,-1.#IND00,-1.#IND00 
3.720000,-1.#IND00,-1.#IND00 
3.730000,-1.#IND00,-1.#IND00 
3.740000,-1.#IND00,-1.#IND00 
3.750000,-1.#IND00,-1.#IND00 
3.760000,-1.#IND00,-1.#IND00 
3.770000,-1.#IND00,-1.#IND00 
3.780000,-1.#IND00,-1.#IND00 
3.790000,-1.#IND00,-1.#IND00 
3.800000,-1.#IND00,-1.#IND00 
3.810000,-1.#IND00,-1.#IND00 
3.820000,-1.#IND00,-1.#IND00 
3.830000,-1.#IND00,-1.#IND00 
3.840000,-1.#IND00,-1.#IND00 
3.850000,-1.#IND00,-1.#IND00 
3.860000,-1.#IND00,-1.#IND00 
3.870000,-1.#IND00,-1.#IND00 
3.880000,-1.#IND00,-1.#IND00 
3.890000,-1.#IND00,-1.#IND00 
3.900000,-1.#IND00,-1.#IND00 
3.910000,-1.#IND00,-1.#IND00 
3.920000,-1.#IND00,-1.#IND00 
3.930000,-1.#IND00,-1.#IND00 
3.940000,-1.#IND00,-1.#IND00 
3.950000,-1.#IND00,-1.#IND00 
3.960000,-1.#IND00,-1.#IND00 
3.970000,-1.#IND00,-1.#IND00 
3.980000,-1.#IND00,-1.#IND00 
3.990000,-1.#IND00,-1.#IND00 
4.000000,-1.#IND00,-1.#IND00 
4.010000,-1.#IND00,-1.#IND00 
4.020000,-1.#IND00,-1.#IND00 
4.030000,-1.#IND00,-1.#IND00 
4.040000,-1.#IND00,-1.#IND00 
4.050000,-1.#IND00,-1.#IND00 
4.060000,-1.#IND00,-1.#IND00 
4.070000,-1.#IND00,-1.#IND00 
4.080000,-1.#IND00,-1.#IND00 
4.090000,-1.#IND00,-1.#IND00 
4.100000,-1.#IND00,-1.#IND00 
4.110000,-1.#IND00,-1.#IND00 
4.120000,-1.#IND00,-1.#IND00 
4.130000,-1.#IND00,-1.#IND00 
4.140000,-1.#IND00,-1.#IND00 
4.150000,-1.#IND00,-1.#IND00 
4.160000,-1.#IND00,-1.#IND00 
4.170000,-1.#IND00,-1.#IND00 
4.180000,-1.#IND00,-1.#IND00 
4.190000,-1.#IND00,-1.#IND00 
4.200000,-1.#IND00,-1.#IND00 
4.210000,-1.#IND00,-1.#IND00 
4.220000,-1.#IND00,-1.#IND00 
4.230000,-1.#IND00,-1.#IND00 
4.240000,-1.#IND00,-1.#IND00 
4.250000,-1.#IND00,-1.#IND00 
4.260000,-1.#IND00,-1.#IND00 
4.270000,-1.#IND00,-1.#IND00 
4.280000,-1.#IND00,-1.#IND00 
4.290000,-1.#IND00,-1.#IND00 
4.300000,-1.#IND00,-1.#IND00 
4.310000,-1.#IND00,-1.#IND00 
4.320000,-1.#IND00,-1.#IND00 
4.330000,-1.#IND00,-1.#IND00 
4.340000,-1.#IND00,-1.#IND00 
4.350000,-1.#IND00,-1.#IND00 
4.360000,-1.#IND00,-1.#IND00 
4.370000,-1.#IND00,-1.#IND00 
4.380000,-1.#IND00,-1.#IND00 
4.390000,-1.#IND00,-1.#IND00 
4.400000,-1.#IND00,-1.#IND00 
4.410000,-1.#IND00,-1.#IND00 
4.420000,-1.#IND00,-1.#IND00 
4.430000,-1.#IND00,-1.#IND00 
4.440000,-1.#IND00,-1.#IND00 
4.450000,-1.#IND00,-1.#IND00 
4.460000,-1.#IND00,-1.#IND00 
4.470000,-1.#IND00,-1.#IND00 
4.480000,-1.#IND00,-1.#IND00 
4.490000,-1.#IND00,-1.#IND00 
4.500000,-1.#IND00,-1.#IND00 
4.510000,-1.#IND00,-1.#IND00 
4.520000,-1.#IND00,-1.#IND00 
4.530000,-1.#IND00,-1.#IND00 
4.540000,-1.#IND00,-1.#IND00 
4.550000,-1.#IND00,-1.#IND00 
4.560000,-1.#IND00,-1.#IND00 
4.570000,-1.#IND00,-1.#IND00 
4.580000,-1.#IND00,-1.#IND00 
4.590000,-1.#IND00,-1.#IND00 
4.600000,-1.#IND00,-1.#IND00 
4.610000,-1.#IND00,-1.#IND00 
4.620000,-1.#IND00,-1.#IND00 
4.630000,-1.#IND00,-1.#IND00 
4.640000,-1.#IND00,-1.#IND00 
4.650000,-1.#IND00,-1.#IND00 
4.660000,-1.#IND00,-1.#IND00 
4.670000,-1.#IND00,-1.#IND00 
4.680000,-1.#IND00,-1.#IND00 
4.690000,-1.#IND00,-1.#IND00 
4.700000,-1.#IND00,-1.#IND00 
4.710000,-1.#IND00,-1.#IND00 
4.720000,-1.#IND00,-1.#IND00 
4.730000,-1.#IND00,-1.#IND00 
4.740000,-1.#IND00,-1.#IND00 
4.750000,-1.#IND00,-1.#IND00 
4.760000,-1.#IND00,-1.#IND00 
4.770000,-1.#IND00,-1.#IND00 
4.780000,-1.#IND00,-1.#IND00 
4.790000,-1.#IND00,-1.#IND00 
4.800000,-1.#IND00,-1.#IND00 
4.810000,-1.#IND00,-1.#IND00 
4.820000,-1.#IND00,-1.#IND00 
4.830000,-1.#IND00,-1.#IND00 
4.840000,-1.#IND00,-1.#IND00 
4.850000,-1.#IND00,-1.#IND00 
4.860000,-1.#IND00,-1.#IND00 
4.870000,-1.#IND00,-1.#IND00 
4.880000,-1.#IND00,-1.#IND00 
4.890000,-1.#IND00,-1.#IND00 
4.900000,-1.#IND00,-1.#IND00 
4.910000,-1.#IND00,-1.#IND00 
4.920000,-1.#IND00,-1.#IND00 
4.930000,-1.#IND00,-1.#IND00 
4.940000,-1.#IND00,-1.#IND00 
4.950000,-1.#IND00,-1.#IND00 
4.960000,-1.#IND00,-1.#IND00 
4.970000,-1.#IND00,-1.#IND00 
4.980000,-1.#IND00,-1.#IND00 
4.990000,-1.#IND00,-1.#IND00 
5.000000,-1.#IND00,-1.#IND00 
5.010000,-1.#IND00,-1.#IND00 
5.020000,-1.#IND00,-1.#IND00 
5.030000,-1.#IND00,-1.#IND00 
5.040000,-1.#IND00,-1.#IND00 
5.050000,-1.#IND00,-1.#IND00 
5.060000,-1.#IND00,-1.#IND00 
5.070000,-1.#IND00,-1.#IND00 
5.080000,-1.#IND00,-1.#IND00 
5.090000,-1.#IND00,-1.#IND00 
5.100000,-1.#IND00,-1.#IND00 
5.110000,-1.#IND00,-1.#IND00 
5.120000,-1.#IND00,-1.#IND00 
5.130000,-1.#IND00,-1.#IND00 
5.140000,-1.#IND00,-1.#IND00 
5.150000,-1.#IND00,-1.#IND00 
5.160000,-1.#IND00,-1.#IND00 
5.170000,-1.#IND00,-1.#IND00 
5.180000,-1.#IND00,-1.#IND00 
5.190000,-1.#IND00,-1.#IND00 
5.200000,-1.#IND00,-1.#IND00 
5.210000,-1.#IND00,-1.#IND00 
5.220000,-1.#IND00,-1.#IND00 
5.230000,-1.#IND00,-1.#IND00 
5.240000,-1.#IND00,-1.#IND00 
5.250000,-1.#IND00,-1.#IND00 
5.260000,-1.#IND00,-1.#IND00 
5.270000,-1.#IND00,-1.#IND00 
5.280000,-1.#IND00,-1.#IND00 
5.290000,-1.#IND00,-1.#IND00 
5.300000,-1.#IND00,-1.#IND00 
5.310000,-1.#IND00,-1.#IND00 
5.320000,-1.#IND00,-1.#IND00 
5.330000,-1.#IND00,-1.#IND00 
5.340000,-1.#IND00,-1.#IND00 
5.350000,-1.#IND00,-1.#IND00 
5.360000,-1.#IND00,-1.#IND00 
5.370000,-1.#IND00,-1.#IND00 
5.380000,-1.#IND00,-1.#IND00 
5.390000,-1.#IND00,-1.#IND00 
5.400000,-1.#IND00,-1.#IND00 
5.410000,-1.#IND00,-1.#IND00 
5.420000,-1.#IND00,-1.#IND00 
5.430000,-1.#IND00,-1.#IND00 
5.440000,-1.#IND00,-1.#IND00 
5.450000,-1.#IND00,-1.#IND00 
5.460000,-1.#IND00,-1.#IND00 
5.470000,-1.#IND00,-1.#IND00 
5.480000,-1.#IND00,-1.#IND00 
5.490000,-1.#IND00,-1.#IND00 
5.500000,-1.#IND00,-1.#IND00 
5.510000,-1.#IND00,-1.#IND00 
5.520000,-1.#IND00,-1.#IND00 
5.530000,-1.#IND00,-1.#IND00 
